AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;FUNDICION;IDH;INGRESO FAMILIAR;MINERIA NO METALICA;MINERIA SUBTERRANEA;POBLACION 18 AÑOS;POBLACION;REFINERIA;TOTAL DE TRANSFERENCIAS
2008;04-301753;NUEVA CAJAMARCA;  MUNICIPALIDAD DISTRITAL DE NUEVA CAJAMARCA;RIOJA;SAN MARTIN;220804;6.501918961;66824.41;74.43378063;;0.323840274;313.5303256;1;;43.21643007;37736;;68290.52
2008;02-301760;ALBERTO LEVEAU;  MUNICIPALIDAD DISTRITAL DE ALBERTO LEVEAU;SAN MARTIN;SAN MARTIN;220902;6.49518184;275.63;72.2380557;;0.296249632;264.0582882;1;;42.95892225;808;;286.23
2008;05-301808;SAN JACINTO;  MUNICIPALIDAD DISTRITAL DE SAN JACINTO;TUMBES;TUMBES;240105;7.732214373;;76.75448336;;0.442480794;459.3526455;1;;82.7159818;8247.5;;1166000.76
2009;01-300078;BAGUA GRANDE;  MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA - BAGUA GRANDE;UTCUBAMBA;AMAZONAS;010701;6.725288647;12443.71;73.17978433;;0.348887732;406.4073703;1;;38.48760688;49766.5;;13665.24
2009;01-300097;AIJA;  MUNICIPALIDAD PROVINCIAL DE AIJA;AIJA;ANCASH;020201;8.548304733;817041.41;65.5249228;;0.321264655;286.2608453;;1;52.03582676;2029;;818862.32
2009;08-300117;HUALLANCA;  MUNICIPALIDAD DISTRITAL DE HUALLANCA;BOLOGNESI;ANCASH;020508;7.827611411;3484320.8;69.67961264;;0.333605515;368.9352445;;1;36.14645207;8357;;3806976.01
2009;07-300131;PARIAHUANCA;  MUNICIPALIDAD DISTRITAL DE PARIAHUANCA;CARHUAZ;ANCASH;020607;5.340954959;567588.91;73.92122245;;0.298274635;304.14242;1;;36.9450928;1538.5;;573273.76
2009;07-300156;HUACHIS;  MUNICIPALIDAD DISTRITAL DE HUACHIS;HUARI;ANCASH;021007;4.315581516;15060130.66;71.92844492;;0.212795649;146.4149057;;1;42.04758385;3755;;15064803.49
2009;19-300349;SAN JUAN DE TARUCANI;  MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI;AREQUIPA;AREQUIPA;040119;5.439028059;1938923.43;75.31260185;;0.302618404;276.9700364;1;;44.84710206;2172.5;;2152988.67
2009;24-300354;UCHUMAYO;  MUNICIPALIDAD DISTRITAL DE UCHUMAYO;AREQUIPA;AREQUIPA;040124;10.54940964;21608551.93;75.21044578;;0.503998695;588.5273528;1;;78.92995807;11073.5;;21777397.68
2009;28-300358;YURA;  MUNICIPALIDAD DISTRITAL DE YURA;AREQUIPA;AREQUIPA;040128;8.392261412;15188684.27;74.26975319;;0.433555691;435.9732926;1;;83.45119273;17601.5;;15760016.46
2009;07-300366;QUILCA;  MUNICIPALIDAD DISTRITAL DE QUILCA;CAMANA;AREQUIPA;040207;8.015383144;382436.56;76.67502747;;0.44170464;479.8077213;1;;72.76445274;787;;410978.9
2009;08-300375;CHAPARRA;  MUNICIPALIDAD DISTRITAL DE CHAPARRA;CARAVELI;AREQUIPA;040308;9.279297568;1637758.03;77.45272558;;0.433969349;484.3857042;;1;53.12201718;4138;;1822339.97
2009;09-300376;HUANUHUANU;  MUNICIPALIDAD DISTRITAL DE HUANUHUANU;CARAVELI;AREQUIPA;040309;8.078975367;1407006.12;78.25034688;;0.385115051;345.6487824;;1;62.07967725;2662.5;;1584592.35
2009;09-300389;ORCOPAMPA;  MUNICIPALIDAD DISTRITAL DE ORCOPAMPA;CASTILLA;AREQUIPA;040409;9.284152884;1820626.47;72.6708591;;0.423356594;536.3236286;;1;46.42393273;8629;;4657928.65
2009;04-300398;CALLALLI;  MUNICIPALIDAD DISTRITAL DE CALLALLI;CAYLLOMA;AREQUIPA;040504;6.153118755;1247933.28;73.6487814;;0.335395179;295.1898633;1;;64.81515559;2436;;1348172.66
2009;16-300410;TAPAY;  MUNICIPALIDAD DISTRITAL DE TAPAY;CAYLLOMA;AREQUIPA;040516;4.118004625;323565.24;72.52154674;;0.274782578;194.8928862;;1;99.98481227;653;;349552.95
2009;03-300417;CAYARANI;  MUNICIPALIDAD DISTRITAL DE CAYARANI;CONDESUYOS;AREQUIPA;040603;7.362327835;2390708.45;74.66046812;;0.306869135;301.468299;;1;32.23170798;3626.5;;5022169.78
2009;06-300420;RIO GRANDE;  MUNICIPALIDAD DISTRITAL DE RIO GRANDE;CONDESUYOS;AREQUIPA;040606;8.861529187;1268342.17;72.87151322;;0.461445171;535.5656068;;1;81.16863048;3335;;1684068.24
2009;06-300513;OYOLO;  MUNICIPALIDAD DISTRITAL DE OYOLO;PAUCAR DEL SARA SARA;AYACUCHO;050806;5.333838353;10273.13;69.89194259;;0.158156578;148.2864997;;1;5.677044632;1173;;16737.36
2009;05-300533;CANARIA;  MUNICIPALIDAD DISTRITAL DE CANARIA;VICTOR FAJARDO;AYACUCHO;051005;7.27790246;290861.7;71.95282909;;0.304973234;316.2906701;;1;30.77025631;4028;;471091.09
2009;08-300604;YONAN;  MUNICIPALIDAD DISTRITAL DE YONAN;CONTUMAZA;CAJAMARCA;060508;7.66189836;1021244.33;72.22205749;;0.425732943;569.8132646;1;;53.82463255;7944.5;;1088731.27
2009;09-300674;SEXI;  MUNICIPALIDAD DISTRITAL DE SEXI;SANTA CRUZ;CAJAMARCA;061309;6.709591015;51812.49;73.03627647;;0.30486366;231.3958007;1;;66.50435503;536;;55305.75
2009;07-300746;SUYCKUTAMBO;  MUNICIPALIDAD DISTRITAL DE SUYCKUTAMBO;ESPINAR;CUSCO;080807;3.862559203;1847070.38;69.51416953;;0.206165062;166.460934;;1;35.76040734;2854.5;;2903170.6
2009;06-300797;HUACHOCOLPA;  MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA;HUANCAVELICA;HUANCAVELICA;090106;6.921624146;212564.43;66.34078177;;0.289401856;378.7737855;;1;25.26968619;3031.5;;416730.38
2009;04-300820;CCOCHACCASA;  MUNICIPALIDAD DISTRITAL DE CCOCHACCASA;ANGARAES;HUANCAVELICA;090304;5.105853535;48619.82;67.22098634;;0.236990843;231.4413902;;1;32.8096639;3344.5;;423196.33
