AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;IDH;INGRESO FAMILIAR;METODOS DE EXPLOTACION;POBLACION 18 AÑOS;POBLACION;TOTAL DE TRANSFERENCIAS
2016;01-300549;CAJAMARCA;  MUNICIPALIDAD PROVINCIAL DE CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;9.26;32956761.75;72.23;0.55;895.33;1.00;68.03;232638.50;36322367.26
2016;06-300797;HUACHOCOLPA;  MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA;HUANCAVELICA;HUANCAVELICA;90106;6.22;247.26;65.12;0.41;764.34;1.00;42.54;2379.00;240898.20
2016;03-300887;CHINCHAO;  MUNICIPALIDAD DISTRITAL DE CHINCHAO;HUANUCO;HUANUCO;100103;3.52;172.28;78.74;0.28;326.10;1.00;35.56;19498.50;19251.68
2016;12-301010;COLCA;  MUNICIPALIDAD DISTRITAL DE COLCA;HUANCAYO;JUNIN;120112;6.05;27471.36;70.97;0.45;772.16;1.00;55.13;1535.00;52156.03
2016;06-301255;CARABAYLLO;  MUNICIPALIDAD DISTRITAL DE CARABAYLLO;LIMA;LIMA;150106;9.60;199783.46;79.52;0.64;1153.32;1.00;74.11;317511.50;349260.73
2016;18-301267;LURIGANCHO;  MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA);LIMA;LIMA;150118;9.84;91395.23;80.23;0.66;1241.54;1.00;75.14;229895.00;220512.53
2016;19-301268;LURIN;  MUNICIPALIDAD DISTRITAL DE LURIN;LIMA;LIMA;150119;9.68;51850.87;79.60;0.67;1331.31;1.00;71.13;87163.50;148649.33
2016;23-301272;PACHACAMAC;  MUNICIPALIDAD DISTRITAL DE PACHACAMAC;LIMA;LIMA;150123;9.10;58342.46;78.09;0.62;1171.08;1.00;69.96;119862.00;153680.95
2016;43-301292;VILLA MARIA DEL TRIUNFO;  MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO;LIMA;LIMA;150143;9.60;71066.55;81.03;0.67;1286.30;1.00;74.18;423489.00;616957.18
2016;02-301482;CARUMAS;  MUNICIPALIDAD DISTRITAL DE CARUMAS;MARISCAL NIETO;MOQUEGUA;180102;6.91;11971176.43;75.22;0.50;795.15;1.00;69.34;3984.00;13946012.05
2016;06-301486;TORATA;  MUNICIPALIDAD DISTRITAL DE TORATA;MARISCAL NIETO;MOQUEGUA;180106;10.12;25659199.33;76.61;0.70;1524.41;1.00;71.64;6036.00;33064681.67
2016;04-301504;HUAYLLAY;  MUNICIPALIDAD DISTRITAL DE HUAYLLAY;PASCO;PASCO;190104;10.14;1162863.14;68.66;0.56;934.68;1.00;77.73;10494.50;3071204.19
